gtin,placement_id,schedule_id,oos,novelty_id,state_id,inventory
50196135.0,1991.0,227755.0,0,0,0,73.0
50196388.0,1991.0,227755.0,0,0,0,14.0
70847004707.0,1991.0,227755.0,0,0,0,39.0
95188010682.0,1991.0,227755.0,0,0,0,3.0
781718827195.0,1991.0,227755.0,0,0,0,294.0
5000267013602.0,1991.0,227755.0,0,0,0,2.0
5000267014203.0,1991.0,227755.0,0,0,0,39.0
5000267023601.0,1991.0,227755.0,0,0,0,2.0
5000281003160.0,1991.0,227755.0,0,0,0,29.0
5000281004020.0,1991.0,227755.0,0,0,0,1.0
5011013100118.0,1991.0,227755.0,0,0,0,2.0
6920354824395.0,1991.0,227755.0,0,0,0,48.0
7501032926069.0,1991.0,227755.0,0,0,0,13.0
7501032926175.0,1991.0,227755.0,0,0,0,19.0
7501032926199.0,1991.0,227755.0,0,0,0,19.0
7501035911376.0,1991.0,227755.0,0,0,0,28.0
7501159731133.0,1991.0,227755.0,0,0,0,18.0
7506105604431.0,1991.0,227755.0,0,0,0,155.0
7506105606053.0,1991.0,227755.0,0,0,0,170.0
7506105606060.0,1991.0,227755.0,0,0,0,147.0
7506105606077.0,1991.0,227755.0,0,0,0,71.0
7506105606084.0,1991.0,227755.0,0,0,0,118.0
7506105606091.0,1991.0,227755.0,0,0,0,127.0
7509546031828.0,1991.0,227755.0,0,0,0,8.0
7509546063331.0,1991.0,227755.0,0,0,0,70.0
7509546065823.0,1991.0,227755.0,0,0,0,18.0
7509546076461.0,1991.0,227755.0,0,0,0,6.0
7509546650890.0,1991.0,227755.0,0,0,0,3.0
7509546651019.0,1991.0,227755.0,0,0,0,15.0
7509546651729.0,1991.0,227755.0,0,0,0,167.0
7509546652016.0,1991.0,227755.0,0,0,0,1.0
7509546668673.0,1991.0,227755.0,0,0,0,12.0
7590011105106.0,1991.0,227755.0,0,0,0,253.0
7591005981515.0,1991.0,227755.0,0,0,0,9.0
7613033975844.0,1991.0,227755.0,0,0,0,17.0
7613033986628.0,1991.0,227755.0,0,0,0,15.0
7622201801472.0,1991.0,227755.0,0,0,0,28.0
7622210407757.0,1991.0,227755.0,0,0,0,12.0
7622210427106.0,1991.0,227755.0,0,0,0,78.0
7622210427199.0,1991.0,227755.0,0,0,0,42.0
7622210429209.0,1991.0,227755.0,0,0,0,158.0
7622210454676.0,1991.0,227755.0,0,0,0,23.0
7622210633842.0,1991.0,227755.0,0,0,0,28.0
7622300116507.0,1991.0,227755.0,0,0,0,150.0
7622300124502.0,1991.0,227755.0,0,0,0,73.0
7622300622749.0,1991.0,227755.0,0,0,0,15.0
7700624000327.0,1991.0,227755.0,0,0,0,10.0
7701018007267.0,1991.0,227755.0,0,0,0,86.0
7701018007281.0,1991.0,227755.0,0,0,0,17.0
7701018065823.0,1991.0,227755.0,0,0,0,16.0
7701018065854.0,1991.0,227755.0,0,0,0,20.0
7701024000023.0,1991.0,227755.0,0,0,0,41.0
7701024000030.0,1991.0,227755.0,0,0,0,89.0
7701024000047.0,1991.0,227755.0,0,0,0,23.0
7701024000276.0,1991.0,227755.0,0,0,0,263.0
7701024000603.0,1991.0,227755.0,0,0,0,63.0
7701101240229.0,1991.0,227755.0,0,0,0,22.0
7701101246894.0,1991.0,227755.0,0,0,0,50.0
7701101247266.0,1991.0,227755.0,0,0,0,19.0
7701101280799.0,1991.0,227755.0,0,0,0,80.0
7701101356098.0,1991.0,227755.0,0,0,0,15.0
7702001011308.0,1991.0,227755.0,0,0,0,66.0
7702001011315.0,1991.0,227755.0,0,0,0,34.0
7702001012053.0,1991.0,227755.0,0,0,0,8.0
7702001012084.0,1991.0,227755.0,0,0,0,6.0
7702001020133.0,1991.0,227755.0,0,0,0,12.0
7702001041411.0,1991.0,227755.0,0,0,0,57.0
7702001041978.0,1991.0,227755.0,0,0,0,4.0
7702001042425.0,1991.0,227755.0,0,0,0,7.0
7702001044504.0,1991.0,227755.0,0,0,0,3.0
7702001046409.0,1991.0,227755.0,0,0,0,10.0
7702001046423.0,1991.0,227755.0,0,0,0,6.0
7702001047604.0,1991.0,227755.0,0,0,0,25.0
7702001048106.0,1991.0,227755.0,0,0,0,7.0
7702001050420.0,1991.0,227755.0,0,0,0,10.0
7702001054107.0,1991.0,227755.0,0,0,0,15.0
7702001054121.0,1991.0,227755.0,0,0,0,7.0
7702001054718.0,1991.0,227755.0,0,0,0,11.0
7702001100019.0,1991.0,227755.0,0,0,0,18.0
7702001100125.0,1991.0,227755.0,0,0,0,12.0
7702001100736.0,1991.0,227755.0,0,0,0,12.0
7702001104635.0,1991.0,227755.0,0,0,0,4.0
7702001117017.0,1991.0,227755.0,0,0,0,13.0
7702001121731.0,1991.0,227755.0,0,0,0,4.0
7702001121755.0,1991.0,227755.0,0,0,0,9.0
7702001121779.0,1991.0,227755.0,0,0,0,9.0
7702001133611.0,1991.0,227755.0,0,0,0,12.0
7702001148578.0,1991.0,227755.0,0,0,0,1.0
7702001157464.0,1991.0,227755.0,0,0,0,5.0
7702001158867.0,1991.0,227755.0,0,0,0,2.0
7702004003539.0,1991.0,227755.0,0,0,0,41.0
7702004025036.0,1991.0,227755.0,0,0,0,4.0
7702004110619.0,1991.0,227755.0,0,0,0,4.0
